raw,display
inv_investment_capacity_costs,Capital with policy
inv_ptc_payments_negative,PTC
inv_investment_spurline_costs_rsc_technologies,Trans
inv_investment_refurbishment_capacity,Capital with policy
inv_ptc_payments_negative_refurbishments,PTC
inv_transmission_line_investment,Trans
inv_substation_investment_costs,Trans
inv_interconnection_costs,Trans
inv_pumpedhydro_investment,Other
inv_geothermal_investment,Other
op_vom_costs,O&M
op_operating_reserve_costs,O&M
op_fuelcosts_objfn,Fuel
op_fom_costs,O&M
op_international_hurdle_rate,Trans
op_acp_compliance_costs,Other
orig_inv_investment_capacity_costs,Capital no policy
orig_inv_investment_refurbishment_capacity,Capital no policy
