raw,display,,,
biopower,biopower,,,
coal-igcc,coal-igcc,,,
coal-new,coal-new,,,
coaloldscr,coaloldscr,,,
coalolduns,coalolduns,,,
cofirenew,cofirenew,,,
cofireold,cofireold,,,
distpv,distpv,,,
dupv_her,dupv_her,,,
gas-cc,gas-cc,,,
gas-cc-ccs,gas-cc-ccs,,,
gas-ct,gas-ct,,,
geothermal,geothermal,,,
lfill-gas,lfill-gas,,,
nuclear,nuclear,,,
o-g-s,o-g-s,,,
battery,battery,,,
caes,caes,,,
pumped-hydro,pumped-hydro,,,
upv_1,upv,,,
upv_2,upv,,,
upv_3,upv,,,
upv_4,upv,,,
upv_5,upv,,,
upv_6,upv,,,
upv_7,upv,,,
upv_8,upv,,,
upv_9,upv,,,
upv_her,upv,,,
dupv_1,dupv,,,
dupv_2,dupv,,,
dupv_3,dupv,,,
dupv_4,dupv,,,
dupv_5,dupv,,,
dupv_6,dupv,,,
dupv_7,dupv,,,
dupv_8,dupv,,,
dupv_9,dupv,,,
dupv_her,dupv,,,
wind-ofs_1,wind-ofs,,,
wind-ofs_2,wind-ofs,,,
wind-ofs_3,wind-ofs,,,
wind-ofs_4,wind-ofs,,,
wind-ofs_5,wind-ofs,,,
wind-ofs_6,wind-ofs,,,
wind-ofs_7,wind-ofs,,,
wind-ofs_8,wind-ofs,,,
wind-ofs_9,wind-ofs,,,
wind-ofs_10,wind-ofs,,,
wind-ofs_11,wind-ofs,,,
wind-ofs_12,wind-ofs,,,
wind-ofs_13,wind-ofs,,,
wind-ofs_14,wind-ofs,,,
wind-ofs_15,wind-ofs,,,
wind-ons_1,wind-ons,,,
wind-ons_2,wind-ons,,,
wind-ons_3,wind-ons,,,
wind-ons_4,wind-ons,,,
wind-ons_5,wind-ons,,,
wind-ons_6,wind-ons,,,
wind-ons_7,wind-ons,,,
wind-ons_8,wind-ons,,,
wind-ons_9,wind-ons,,,
wind-ons_10,wind-ons,,,
csp-ns,csp,,,
csp1_1,csp,,,
csp1_2,csp,,,
csp1_3,csp,,,
csp1_4,csp,,,
csp1_5,csp,,,
csp1_6,csp,,,
csp1_7,csp,,,
csp1_8,csp,,,
csp1_9,csp,,,
csp1_10,csp,,,
csp1_11,csp,,,
csp1_12,csp,,,
csp2_1,csp,,,
csp2_2,csp,,,
csp2_3,csp,,,
csp2_4,csp,,,
csp2_5,csp,,,
csp2_6,csp,,,
csp2_7,csp,,,
csp2_8,csp,,,
csp2_9,csp,,,
csp2_10,csp,,,
csp2_11,csp,,,
csp2_12,csp,,,
csp_her,csp,,,
gas-ct-nsp,gas-ct-nsp,,,
gas-cc-nsp,gas-cc-nsp,,,
coal-ccs-nsp,coal-ccs-nsp,,,
nuclear-nsp,nuclear-nsp,,,
hydnd,hydro,,,
hydud,hydro,,,
hydund,hydro,,,
hydnpnd,hydro,,,
hyded,hydro,,,
hydend,hydro,,,
can-imports,Canada,,,
