order,color,color description
biopower,#8B0000,red4
coal-igcc,#000000,black
coal-new,#b3b3b3,gray70
coaloldscr,#e5e5e5,gray90
coalolduns,#528b8b,darkslategray4
cofirenew,#d2691e,chocolate
cofireold,#ff7f24,chocolate1
distpv,#d2b48c,tan
dupv_her,#cd5c5c,indianred
gas-cc,#27408b,royalblue4
gas-ct,#000080,navyblue
lfill-gas,#eedc82,lightgoldenrod2
nuclear,#54ff9f,seagreen
o-g-s,#3cb371,mediumseagreen
pumped-hydro,#4f94cd,steelblue3
upv,#ee4000,orangered2
dupv,#ffa500,orange
wind-ofs,#cd8500,orange3
wind-ons,#dcdcdc,gainsboro
csp,#8b008b,magenta4
gas-ct-nsp,#8B0000,red4
gas-cc-nsp,#000000,black
coal-ccs-nsp,#b3b3b3,gray70
nuclear-nsp,#e5e5e5,gray90
hydro,#528b8b,darkslategray4
